book_id,position,token_length,char_length,genre,author,title,source_file
2226c561-bc0c-4f0e-ac55-0f5e0cb0066d,5350,643,3359,,Unknown,Королев В.О. Гвардейцы первой штурмовой,2226c561-bc0c-4f0e-ac55-0f5e0cb0066d.jsonl
9fc6b609-ce2a-4394-b959-69659f0d4bab,4713,549,2339,,Unknown,"Зимин В.В. История 22-го пехотного Нижегородского полка. 1700-1800, 1900",9fc6b609-ce2a-4394-b959-69659f0d4bab.jsonl
421eae6f-d01c-4542-ba19-c49e82eec190,5129,1373,2286,,Unknown,Федоров А.Г. Авиация в битве под Москвой,421eae6f-d01c-4542-ba19-c49e82eec190.jsonl
421eae6f-d01c-4542-ba19-c49e82eec190,13545,1373,2286,,Unknown,Федоров А.Г. Авиация в битве под Москвой,421eae6f-d01c-4542-ba19-c49e82eec190.jsonl
f8841fae-7977-4c02-9cd0-65be9cb6578e,4539,703,3206,,Иноземцев И.Г. Под крылом,Ленинград,f8841fae-7977-4c02-9cd0-65be9cb6578e.jsonl
f8841fae-7977-4c02-9cd0-65be9cb6578e,9712,703,3206,,Иноземцев И.Г. Под крылом,Ленинград,f8841fae-7977-4c02-9cd0-65be9cb6578e.jsonl
65b611a3-d085-4835-a367-141b244bb89c,3597,553,2139,,Мархоцкий Н. История Московской войны.,"М. Российская политическая энциклопедия (РОССПЭН),2000",65b611a3-d085-4835-a367-141b244bb89c.jsonl
65b611a3-d085-4835-a367-141b244bb89c,3645,860,2932,,Мархоцкий Н. История Московской войны.,"М. Российская политическая энциклопедия (РОССПЭН),2000",65b611a3-d085-4835-a367-141b244bb89c.jsonl
0d2c059e-97ec-4c43-9f99-8fa96a759dc3,2938,526,1915,,Колонтаев Константин,Крым битва спецназов,0d2c059e-97ec-4c43-9f99-8fa96a759dc3.jsonl
cd991273-a06e-44b6-8374-d1d80c0cb79d,4262,533,1951,,Unknown,"Дубровин Н.Ф. Присоединение Крыма к России, Том 4, 1885",cd991273-a06e-44b6-8374-d1d80c0cb79d.jsonl
cd991273-a06e-44b6-8374-d1d80c0cb79d,4332,646,1701,,Unknown,"Дубровин Н.Ф. Присоединение Крыма к России, Том 4, 1885",cd991273-a06e-44b6-8374-d1d80c0cb79d.jsonl
